,subname,runs,nii_exists,rms_exists,rms_mean,rms_valid,rms_above_02,rms_above_02_valid
46,HCD1756060_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.08001136,FALSE,0,FALSE
47,HCD1756060_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.055718297,FALSE,0,FALSE
48,HCD2855875_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.127315576,FALSE,0.104821803,FALSE
49,HCD2855875_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.122378562,FALSE,0.081761006,FALSE
50,HCD2855875_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.096786499,FALSE,0.018867925,FALSE
51,HCD2855875_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.083223655,FALSE,0.012578616,FALSE
52,HCD2068145_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.078082439,FALSE,0.002096436,FALSE
53,HCD2068145_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.086205837,FALSE,0.041928721,FALSE
54,HCD2068145_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.101980232,FALSE,0.052410901,FALSE
55,HCD2068145_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.145640296,FALSE,0.194968553,FALSE
56,HCD1510432_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.092249648,FALSE,0.012578616,FALSE
57,HCD1510432_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.056471169,FALSE,0,FALSE
58,HCD1510432_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.08099889,FALSE,0,FALSE
59,HCD1510432_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.051378474,FALSE,0,FALSE
60,HCD2286155_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.074032084,FALSE,0.004192872,FALSE
61,HCD2286155_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.032490989,FALSE,0,FALSE
62,HCD2286155_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.083144713,FALSE,0.004192872,FALSE
63,HCD2286155_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.036425179,FALSE,0,FALSE
64,HCD2008329_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.092256749,FALSE,0.020964361,FALSE
65,HCD2008329_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.065828214,FALSE,0.004192872,FALSE
66,HCD2008329_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.135606323,FALSE,0.184486373,FALSE
67,HCD2008329_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.070521534,FALSE,0.006289308,FALSE
68,HCD1568867_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.083481932,FALSE,0.004192872,FALSE
69,HCD1568867_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.071864933,FALSE,0.01048218,FALSE
70,HCD1568867_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.098692327,FALSE,0.031446541,FALSE
71,HCD1568867_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.170059995,FALSE,0.178197065,FALSE
72,HCD0051825_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.073362378,FALSE,0.002096436,FALSE
73,HCD0051825_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.066117982,FALSE,0,FALSE
74,HCD0051825_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.065621931,FALSE,0,FALSE
75,HCD0051825_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.049716001,FALSE,0,FALSE
76,HCD0478356_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.132512732,FALSE,0.140461216,FALSE
77,HCD0478356_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.102618619,FALSE,0.018867925,FALSE
78,HCD0478356_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.065751174,FALSE,0.014675052,FALSE
79,HCD0478356_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.077259111,FALSE,0.023060797,FALSE
80,HCD0678970_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.117088316,FALSE,0.098532495,FALSE
81,HCD0678970_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.192835471,FALSE,0.211740042,FALSE
82,HCD0678970_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.308829461,TRUE,0.429769392,TRUE
83,HCD0678970_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.362145301,TRUE,0.377358491,TRUE
84,HCD1765970_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.135299079,FALSE,0.203354298,FALSE
85,HCD1765970_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.075304901,FALSE,0.006289308,FALSE
86,HCD1765970_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.113343643,FALSE,0.046121593,FALSE
87,HCD1765970_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.089979001,FALSE,0.056603774,FALSE
